,sentence,intent
2271,fuck ass fuck although conservatives fucking us ass right,No Hate
2272,fuck ass fuck although conservatives fucking us ass right,Hate
2273,fuck ass fuck although conservatives fucking us ass right,Hate
2274,believe luigi fucking di,No Hate
2275,entertain shit,No Hate
2276,dumb ass,Hate
2277,please bitch get popped end lump like dumb ass sist,Hate
2278,please bitch get popped end lump like dumb ass sist,Hate
2279,st pic oh god batman v superman trailer awesome nd pic oh god bvs awesome rd pic oh dont like bvs call shit movie well bitch th pic oh zack fired henry left ben leav,Hate
2280,st pic oh god batman v superman trailer awesome nd pic oh god bvs awesome rd pic oh dont like bvs call shit movie well bitch th pic oh zack fired henry left ben leav,Hate
2281,aaron rodgers never win ring rest sad ass career hope regular season heroics cause thats good nice day,Hate
2282,fuck start working man steel sequel soon whole dceu irreversibly go shit,Hate
2283,fuck start working man steel sequel soon whole dceu irreversibly go shit,Hate
2284,dick durbin figures lies often enough people start believe right leftist dictatorship playbook,No Hate
2285,well osuna ass really sure went claiming punch women sir asshole completely wrong tweet nothing osuna clear fact tha,Hate
2286,well osuna ass really sure went claiming punch women sir asshole completely wrong tweet nothing osuna clear fact tha,Hate
2287,good example ban ar someone could used gun control pussi,Hate
2288,tbh could stop spreading rumors false news hurt enough dont need shit,No Hate
2289,shit hurt,No Hate
2290,oh fuck,No Hate
2291,fucking league football hahahah url,No Hate
2292,tell story car rain yes whore life fuck people money except,Hate
2293,tell story car rain yes whore life fuck people money except,No Hate
2294,got ass lmao,No Hate
2295,go people love david gilmour think roger waters bit dick obvi,Hate
2296,fucking hilari,No Hate
2297,fucking pu little chinless donni,Hate
2298,ummm theres video coach literally admitted lmao maybe read strong shitty opinion,Hate
2299,guy kerry one nothing damn politician get going sea trying undermined president traitor sure better watch b,Hate
2300,fucking fast holy shit lol,No Hate
2301,fucking fast holy shit lol,No Hate
2302,good shit kaepernick great model young kids play football stand believ,No Hate
2303,holy shit better drinking milk eating els,No Hate
2304,dead mass shooting fifth third bank building downtown cincinnati deep state fake news crisis actor alert gun control bullshit f feinstein obama url via,No Hate
2305,bullshit daughters watched tennis match sarrena got deserved big williams fans one gam,Hate
2306,know look outside box like rush limbaugh lost shit remind head funni,No Hate
2307,nigga tweeting shower hope siri drown,No Hate
2308,fuck rick,No Hate
2309,u fuck alreadi,Hate
2310,santa clarita netflix funny fuck,No Hate
2311,course interested domestic abuse still domestic abuse hope use fake rumor shit habs actually care domestic abus,Hate
2312,american terrorists need strict punishment lawless thugs stop powdering antifa ass,No Hate
2313,umm fuck yeah would,No Hate
2314,yes thats need bring gun control even better shoot foot real well im going harass school shooting survivor ass,No Hate
2315,fuck alan sorri,No Hate
2316,bullshit live nh daughter goes school cali considered non resident clearly move fraud citizens nh,Hate
2317,timely responses rap beef lmaoooooo nas took three months respond jay bodied em always takes month get timely response shit,No Hate
2318,fuck,No Hate
2319,henny outside u ya pussy ass sister wanna talk,Hate
2320,henny outside u ya pussy ass sister wanna talk,Hate
2321,fuck puting raven derrick dan dr saying mastermind shit put bitch sick annoying boring take raven put tyler playing great game even,No Hate
2322,fuck puting raven derrick dan dr saying mastermind shit put bitch sick annoying boring take raven put tyler playing great game even,Hate
2323,fuck puting raven derrick dan dr saying mastermind shit put bitch sick annoying boring take raven put tyler playing great game even,Hate
2324,well really really smart nothing woodward wrote book true good lord shit see hear everyday day really need op ed book,No Hate
2325,spend final days hell sink,Hate
2326,trump posts shit like know distracting something else go,No Hate
2327,nonono people fat shame give slightest shit someone health know anyone health looking big doctor know many super healthy fat people horrifica,No Hate
2328,fuck yeah,No Hate
2329,hate man thinks irrelevant opinion matters ass bitch url,Hate
2330,hate man thinks irrelevant opinion matters ass bitch url,Hate
2331,fuck,No Hate
2332,bitch please commie dems ones riding hell bent leather destroy democracy republ,Hate
2333,bitch please commie dems ones riding hell bent leather destroy democracy republ,Hate
2334,om ah bitch lol love domo,No Hate
2335,honestly know stupid actually surprising dumb easily persuaded people country say shit like every white redneck screaming yeah maga baby url,No Hate
2336,im horibble shitty that,No Hate
2337,hey bitch daily reminder lov,No Hate
2338,fuck,No Hate
2339,yo ass probably playing super easy smh go hom,No Hate
2340,agree want see real damsel distress play fucking marry jane missions soooo boring stupid url,No Hate
2341,monte fuckin knows point,No Hate
2342,gotta give credit due may mason competing ass,No Hate
2343,shit like real research gets done us,No Hate
2344,beat ass letting get hit,No Hate
2345,cute fuck,No Hate
2346,chances got mario cart penis confused one thousand since remember specific slice pizza years ago looks like dems like ancient memory based accus,No Hate
2347,dog whistles minute one sobs use never would vote liberal ever thing moderate acceptable liberal mean try hide hate scum fool thin,No Hate
2348,holy shit get lawyer false advertisement colon football player vag head,No Hate
2349,holy shit get lawyer false advertisement colon football player vag head,Hate
2350,hunnid stax shit,No Hate
2351,cite jones banned violating twitter tos blue checkmarks spewing worse kind shit going play anyone get banned card people also receive bans suspens,No Hate
2352,even gay yr old call youthful indescretion amp get amp maga sshats url,No Hate
2353,thing antifa warrior coward bitches marcus smart tougher far,Hate
2354,canadian live us ex special forces handled everything bb gun mm howitzer tow missles anti tank weapons us lack gun control far fucking stupidest part,Hate
2355,fucked bama twice since got almost tru fan,No Hate
2356,bitch wanna know,Hate
2357,testament fucked world free spout bullshit jail even investigated statutory rap,No Hate
2358,testament fucked world free spout bullshit jail even investigated statutory rap,Hate
2359,really side mess day people siding cardi talking bout nicki shit jsjdhkdfhjfkfkhsjdhd messsssss,No Hate
2360,gone eat high yellow ass,No Hate
2361,full shit sweeti,Hate
2362,megumi im sorry asked see tit,Hate
2363,pussy ass different times never black life ever ate chittlerings lol,No Hate
2364,pussy ass different times never black life ever ate chittlerings lol,No Hate
2365,isnt nra propaganda pushing corporate lobby group cares profits profits idea rest crackpots guy looks like ar stuck ass,No Hate
2366,fuck steelers bah mama racist shyt wanna pay dude call selfish wanted report,Hate
2367,red flags professor liberal school unable healthy relationships men translation antifa dyke stop conservative judge president trump even li,Hate
2368,one tough easy hold grudge fucking hard let go,No Hate
2369,vile creature trying portray fierce bitch time knows gun control conversation paper tig,Hate
2370,woman town honked asshole driver cut followed home beat crowbar,Hate
2371,one worth slapping cock cumming cumslav,Hate
2372,swear glad fat ass never drunk shit tryna slim crackhead slim,No Hate
2373,swear glad fat ass never drunk shit tryna slim crackhead slim,No Hate
2374,fucking matter found dead sea scrolls colonel secret recipe man dead due ignorant negligence someone els,No Hate
2375,bitch took four years jdkdkdd,No Hate
2376,kind classes taking ass homework anatomy class,No Hate
2377,kerry full shit undermining things knows iran debacle baby wants keep matter cost,Hate
2378,bitches lol,No Hate
2379,antifa needs good ole boy ass b,No Hate
2380,shit od,No Hate
2381,got asses even believing truth truth lmao amp know water damn wet cant even believe coming lying ass mouth,No Hate
2382,got asses even believing truth truth lmao amp know water damn wet cant even believe coming lying ass mouth,No Hate
2383,got asses even believing truth truth lmao amp know water damn wet cant even believe coming lying ass mouth,Hate
2384,tea mad saw shit,Hate
2385,store dude walked wit maga shirt smh dog mean muggin fuck outta dude much left broad stor,No Hate
2386,wtf one say hope trumps doc rots nobody noticed oh yah tagged better tone dick falling happen soon enough,No Hate
2387,fuck care friend real friend losing anyone special cuz even real friend sad,No Hate
2388,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
2389,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
2390,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
2391,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
2392,shit different frfr,Hate
2393,action talks bullshit walk,Hate
2394,haaaaaa cause never happened ye gonna tweet shit make sure fact kid,Hate
2395,wondering shit east coast causing god send florence punish good guess would neo faux christian followers trump,No Hate
2396,damn hope find bitch bought yesterday lmaoooo,No Hate
2397,damn hope find bitch bought yesterday lmaoooo,No Hate
2398,exactly ass gets lmaoo,No Hate
2399,fuck,No Hate
2400,shit,No Hate
2401,god damn fucking valid,No Hate
2402,god damn fucking valid,No Hate
2403,nigga keep tryna play sides lol,No Hate
2404,happy stbirthday savage songs broken world time lst yr dropped door damn shit little know ride going take us fans thank masterpiec,No Hate
